county,date,rooms,rooms_occupied,trailers_requested,trailers_delivered,donated_trailers_delivered
Santa Cruz ,4/23/2020,27,19,35,,
Shasta ,4/23/2020,20,,,,
Sierra ,4/23/2020,,,,,
Siskiyou ,4/23/2020,,,,,
Solano ,4/23/2020,,,,,
Sonoma ,4/23/2020,45,45,,,
Stanislaus ,4/23/2020,121,19,,,
Sutter ,4/23/2020,16,16,,,
Tehama ,4/23/2020,,,,,
Trinity ,4/23/2020,,,,,
Tulare ,4/23/2020,56,,,,
Tuolumne,4/23/2020,,,,,
Ventura ,4/23/2020,388,258,,,
Yolo ,4/23/2020,246,212,,,
Yuba ,4/23/2020,30,17,,,
Alameda,4/24/2020,385,344,91,91,
Alpine ,4/24/2020,,,,,
Amador,4/24/2020,,,,,
Butte,4/24/2020,89,89,,,
Calaveras,4/24/2020,75,20,,,
Colusa,4/24/2020,,,,,
Contra Costa,4/24/2020,340,129,,,
Del Norte,4/24/2020,,,,,
El Dorado,4/24/2020,26,,,,
Fresno,4/24/2020,305,250,28,28,
Glenn ,4/24/2020,,,,,
Humboldt,4/24/2020,44,11,15,,
Imperial,4/24/2020,36,,37,,
Inyo,4/24/2020,,,,,
Kern,4/24/2020,,,15,15,
Kings,4/24/2020,,,,,
Lake ,4/24/2020,15,,,,
Lassen,4/24/2020,,,,,
Los Angeles,4/24/2020,3292,1054,658,649,
Madera,4/24/2020,20,20,,,
Marin ,4/24/2020,132,96,44,,
Mariposa,4/24/2020,44,13,,,
Mendocino,4/24/2020,149,110,,,
Merced,4/24/2020,85,34,,,
Modoc,4/24/2020,,,,,
Mono ,4/24/2020,48,,,,
Monterey,4/24/2020,142,,108,15,
Napa,4/24/2020,104,52,18,,
Nevada,4/24/2020,50,16,,,
Orange,4/24/2020,275,86,78,78,
Placer,4/24/2020,32,32,12,,
Plumas,4/24/2020,,,,,
Riverside,4/24/2020,422,303,15,15,
Sacramento,4/24/2020,276,105,63,63,
San Benito,4/24/2020,67,43,,,
San Bernardino,4/24/2020,50,37,20,,20
San Diego,4/24/2020,2029,409,44,44,
San Francisco,4/24/2020,1434,864,91,91,
San Joaquin,4/24/2020,,,,,
San Luis Obispo,4/24/2020,155,,14,14,
San Mateo,4/24/2020,139,100,,,
Santa Barbara,4/24/2020,98,37,,,
Santa Clara,4/24/2020,660,243,105,105,
Santa Cruz,4/24/2020,27,20,35,,
Shasta ,4/24/2020,20,,,,
Sierra,4/24/2020,,,,,
Siskiyou,4/24/2020,,,,,
Solano ,4/24/2020,,,,,
Sonoma,4/24/2020,45,45,,,
Stanislaus,4/24/2020,123,52,,,
Sutter,4/24/2020,16,16,,,
Tehama,4/24/2020,,,,,
Trinity,4/24/2020,,,,,
Tulare,4/24/2020,56,,,,
Tuolumne,4/24/2020,,,,,
Ventura,4/24/2020,388,266,,,
Yolo,4/24/2020,246,212,,,
Yuba,4/24/2020,30,17,,,
Alameda County,4/25/2020,385,344,91,91,
Alpine County,4/25/2020,,,,,
Amador County,4/25/2020,,,,,
Butte County,4/25/2020,89,89,,,
Calaveras County,4/25/2020,73,25,,,
Colusa County,4/25/2020,,,,,
Contra Costa County,4/25/2020,340,129,,,
Del Norte County,4/25/2020,,,,,
El Dorado County,4/25/2020,26,,,,
Fresno County,4/25/2020,305,250,28,28,
Glenn County,4/25/2020,,,,,
Humboldt County,4/25/2020,44,11,15,,
Imperial County,4/25/2020,36,,37,,
Inyo County,4/25/2020,,,,,
Kern County,4/25/2020,,,15,15,
Kings County,4/25/2020,,,,,
Lake County,4/25/2020,15,,,,
Lassen County,4/25/2020,,,,,
Los Angeles County,4/25/2020,3292,1054,658,649,
Madera County ,4/25/2020,20,20,,,
Marin County ,4/25/2020,132,96,44,,
Mariposa County,4/25/2020,44,13,,,
Mendocino County,4/25/2020,149,110,,,
Merced County,4/25/2020,85,34,,,
Modoc County,4/25/2020,,,,,
Mono County,4/25/2020,48,,,,
Monterey County,4/25/2020,142,,108,15,
Napa County ,4/25/2020,104,52,18,,
Nevada County ,4/25/2020,50,16,,,
Orange County,4/25/2020,275,86,78,78,
Placer County,4/25/2020,73,26,12,,
Plumas County,4/25/2020,,,,,
Riverside County,4/25/2020,422,303,15,15,
Sacramento County,4/25/2020,276,121,63,63,
San Benito County,4/25/2020,67,40,,,
